lond,latd,Date,Time,yy,mm,day,lond,,latd,hhooks,alb_mt,alb_kghhks,bet_mt,bet_kghhks,pbf_mt,pbf_kghhks,skj_mt,skj_kghhks,sbf_mt,sbf_kghhks,yft_mt,yft_kghhks,tun_mt,tun_kghhks,Date
-175.5,-20.5,1/1/2014,12:00,2014,1,1,184.5,-175.5,-20.5,30,0.98,32.667,0,0,0,0,0,0,0,0,0.28,9.333,1.26,42,1/1/2014
-174.5,-21.5,1/1/2014,12:00,2014,1,1,185.5,-174.5,-21.5,16,0.03,1.875,0,0,0,0,0.01,0.625,0,0,0.2,12.5,0.24,15,1/1/2014
-174.5,-20.5,1/1/2014,12:00,2014,1,1,185.5,-174.5,-20.5,33,0.097,2.939,0.074,2.242,0,0,0,0,0,0,0.863,26.152,1.034,31.333,1/1/2014
-175.5,-20.5,1/2/2014,12:00,2014,1,2,184.5,-175.5,-20.5,32,1.2,37.5,0.1,3.125,0,0,0,0,0,0,0.45,14.063,1.75,54.688,1/2/2014
-174.5,-21.5,1/2/2014,12:00,2014,1,2,185.5,-174.5,-21.5,16,0.03,1.875,0,0,0,0,0.015,0.938,0,0,0.92,57.5,0.965,60.313,1/2/2014
-174.5,-20.5,1/2/2014,12:00,2014,1,2,185.5,-174.5,-20.5,33,0,0,0.09,2.727,0,0,0,0,0,0,0.193,5.848,0.283,8.576,1/2/2014
-175.5,-20.5,1/3/2014,12:00,2014,1,3,184.5,-175.5,-20.5,32,0.66,20.625,0,0,0,0,0,0,0,0,0.22,6.875,0.88,27.5,1/3/2014
-175.5,-20.5,1/4/2014,12:00,2014,1,4,184.5,-175.5,-20.5,32,0.84,26.25,0,0,0,0,0,0,0,0,0.52,16.25,1.36,42.5,1/4/2014
-173.5,-19.5,1/4/2014,12:00,2014,1,4,186.5,-173.5,-19.5,33,0,0,0,0,0,0,0,0,0,0,1.156,35.03,1.156,35.03,1/4/2014
-175.5,-22.5,1/5/2014,12:00,2014,1,5,184.5,-175.5,-22.5,32,1.1,34.375,0,0,0,0,0,0,0,0,0.13,4.063,1.23,38.438,1/5/2014
-174.5,-21.5,1/5/2014,12:00,2014,1,5,185.5,-174.5,-21.5,16,0,0,0,0,0,0,0.002,0.125,0,0,0.05,3.125,0.052,3.25,1/5/2014
-173.5,-19.5,1/5/2014,12:00,2014,1,5,186.5,-173.5,-19.5,33,0,0,0,0,0,0,0,0,0,0,0.375,11.364,0.375,11.364,1/5/2014
-175.5,-20.5,1/6/2014,12:00,2014,1,6,184.5,-175.5,-20.5,32,0.34,10.625,0.075,2.344,0,0,0,0,0,0,0.16,5,0.575,17.969,1/6/2014
-174.5,-21.5,1/6/2014,12:00,2014,1,6,185.5,-174.5,-21.5,16,0,0,0,0,0,0,0,0,0,0,0.8,50,0.8,50,1/6/2014
-173.5,-19.5,1/6/2014,12:00,2014,1,6,186.5,-173.5,-19.5,33,0,0,0,0,0,0,0,0,0,0,0.4,12.121,0.4,12.121,1/6/2014
-173.5,-19.5,1/7/2014,12:00,2014,1,7,186.5,-173.5,-19.5,33,0.059,1.788,0,0,0,0,0,0,0,0,0.334,10.121,0.393,11.909,1/7/2014
-173.5,-15.5,1/11/2014,12:00,2014,1,11,186.5,-173.5,-15.5,33,0.539,16.333,0,0,0,0,0,0,0,0,0,0,0.539,16.333,1/11/2014
-173.5,-15.5,1/12/2014,12:00,2014,1,12,186.5,-173.5,-15.5,33,0.388,11.758,0,0,0,0,0,0,0,0,0.124,3.758,0.512,15.515,1/12/2014
-174.5,-21.5,1/13/2014,12:00,2014,1,13,185.5,-174.5,-21.5,16,0,0,0,0,0,0,0,0,0,0,1.4,87.5,1.4,87.5,1/13/2014
-173.5,-15.5,1/13/2014,12:00,2014,1,13,186.5,-173.5,-15.5,33,0.388,11.758,0.024,0.727,0,0,0,0,0,0,0.194,5.879,0.606,18.364,1/13/2014
-175.5,-20.5,1/14/2014,12:00,2014,1,14,184.5,-175.5,-20.5,32,0.2,6.25,0.048,1.5,0,0,0,0,0,0,0.24,7.5,0.488,15.25,1/14/2014
-174.5,-21.5,1/14/2014,12:00,2014,1,14,185.5,-174.5,-21.5,16,0.015,0.938,0.025,1.563,0,0,0,0,0,0,1.7,106.25,1.74,108.75,1/14/2014
-173.5,-16.5,1/14/2014,12:00,2014,1,14,186.5,-173.5,-16.5,33,0.328,9.939,0.015,0.455,0,0,0,0,0,0,0.249,7.545,0.592,17.939,1/14/2014
-175.5,-20.5,1/15/2014,12:00,2014,1,15,184.5,-175.5,-20.5,32,0.24,7.5,0,0,0,0,0,0,0,0,0.32,10,0.56,17.5,1/15/2014
-174.5,-21.5,1/15/2014,12:00,2014,1,15,185.5,-174.5,-21.5,16,0.015,0.938,0.05,3.125,0,0,0,0,0,0,2,125,2.065,129.063,1/15/2014
-173.5,-16.5,1/15/2014,12:00,2014,1,15,186.5,-173.5,-16.5,33,0.366,11.091,0,0,0,0,0,0,0,0,0.149,4.515,0.515,15.606,1/15/2014
-175.5,-20.5,1/16/2014,12:00,2014,1,16,184.5,-175.5,-20.5,30,0.09,3,0.05,1.667,0,0,0,0,0,0,0.35,11.667,0.49,16.333,1/16/2014
-174.5,-21.5,1/16/2014,12:00,2014,1,16,185.5,-174.5,-21.5,16,0,0,0,0,0.13,8.125,0.005,0.313,0,0,1.75,109.375,1.885,117.813,1/16/2014
-173.5,-16.5,1/16/2014,12:00,2014,1,16,186.5,-173.5,-16.5,33,0.091,2.758,0,0,0,0,0,0,0,0,0.197,5.97,0.288,8.727,1/16/2014
