lond,latd,Date,Time,yy,mm,day,lond,,latd,hhooks,alb_mt,alb_kghhks,bet_mt,bet_kghhks,pbf_mt,pbf_kghhks,skj_mt,skj_kghhks,sbf_mt,sbf_kghhks,yft_mt,yft_kghhks,tun_mt,tun_kghhks,Date
-174.5,-22.5,1/1/2005,12:00,2005,1,1,185.5,-174.5,-22.5,16,0.03,1.875,0.05,3.125,0,0,0,0,0,0,0.07,4.375,0.15,9.375,1/1/2005
-175.5,-23.5,1/3/2005,12:00,2005,1,3,184.5,-175.5,-23.5,16,0.015,0.938,0.06,3.75,0,0,0,0,0,0,0.7,43.75,0.775,48.438,1/3/2005
-175.5,-23.5,1/4/2005,12:00,2005,1,4,184.5,-175.5,-23.5,16,0.05,3.125,0,0,0,0,0,0,0,0,0.17,10.625,0.22,13.75,1/4/2005
-176.5,-22.5,1/5/2005,12:00,2005,1,5,183.5,-176.5,-22.5,16,0,0,0,0,0,0,0,0,0,0,0.22,13.75,0.22,13.75,1/5/2005
-173.5,-21.5,1/11/2005,12:00,2005,1,11,186.5,-173.5,-21.5,21.3,0.255,11.972,0.025,1.174,0,0,0,0,0,0,0.06,2.817,0.34,15.962,1/11/2005
-175.5,-19.5,1/12/2005,12:00,2005,1,12,184.5,-175.5,-19.5,25,0.075,3,0,0,0,0,0,0,0,0,0.09,3.6,0.165,6.6,1/12/2005
-173.5,-21.5,1/12/2005,12:00,2005,1,12,186.5,-173.5,-21.5,21.26,0.102,4.798,0.11,5.174,0,0,0.005,0.235,0,0,0.3,14.111,0.517,24.318,1/12/2005
-175.5,-22.5,1/13/2005,12:00,2005,1,13,184.5,-175.5,-22.5,14,0,0,0.04,2.857,0,0,0,0,0,0,0.15,10.714,0.19,13.571,1/13/2005
-175.5,-19.5,1/13/2005,12:00,2005,1,13,184.5,-175.5,-19.5,25,0.105,4.2,0.04,1.6,0,0,0,0,0,0,0.445,17.8,0.59,23.6,1/13/2005
-174.5,-21.5,1/13/2005,12:00,2005,1,13,185.5,-174.5,-21.5,21.15,0.255,12.057,0.04,1.891,0,0,0,0,0,0,0.24,11.348,0.535,25.296,1/13/2005
-175.5,-22.5,1/14/2005,12:00,2005,1,14,184.5,-175.5,-22.5,14,0,0,0,0,0,0,0,0,0,0,0.18,12.857,0.18,12.857,1/14/2005
-174.5,-21.5,1/14/2005,12:00,2005,1,14,185.5,-174.5,-21.5,21.45,0.102,4.755,0.03,1.399,0,0,0,0,0,0,0.2,9.324,0.332,15.478,1/14/2005
-174.5,-19.5,1/14/2005,12:00,2005,1,14,185.5,-174.5,-19.5,25,0,0,0,0,0,0,0,0,0,0,0.585,23.4,0.585,23.4,1/14/2005
-175.5,-23.5,1/15/2005,12:00,2005,1,15,184.5,-175.5,-23.5,14,0,0,0,0,0,0,0,0,0,0,0.09,6.429,0.09,6.429,1/15/2005
-175.5,-19.5,1/15/2005,12:00,2005,1,15,184.5,-175.5,-19.5,50,0,0,0,0,0,0,0,0,0,0,0.675,13.5,0.675,13.5,1/15/2005
-174.5,-21.5,1/15/2005,12:00,2005,1,15,185.5,-174.5,-21.5,21.3,0.153,7.183,0.18,8.451,0,0,0,0,0,0,0.2,9.39,0.533,25.023,1/15/2005
-176.5,-22.5,1/16/2005,12:00,2005,1,16,183.5,-176.5,-22.5,14,0.04,2.857,0,0,0,0,0,0,0,0,0.09,6.429,0.13,9.286,1/16/2005
-175.5,-19.5,1/16/2005,12:00,2005,1,16,184.5,-175.5,-19.5,25,0.015,0.6,0,0,0,0,0,0,0,0,0.42,16.8,0.435,17.4,1/16/2005
-174.5,-19.5,1/16/2005,12:00,2005,1,16,185.5,-174.5,-19.5,25,0,0,0,0,0,0,0,0,0,0,0.505,20.2,0.505,20.2,1/16/2005
-176.5,-22.5,1/17/2005,12:00,2005,1,17,183.5,-176.5,-22.5,14,0.04,2.857,0,0,0,0,0,0,0,0,0.03,2.143,0.07,5,1/17/2005
-175.5,-20.5,1/17/2005,12:00,2005,1,17,184.5,-175.5,-20.5,23,0,0,0,0,0,0,0,0,0,0,0.16,6.957,0.16,6.957,1/17/2005
-175.5,-19.5,1/17/2005,12:00,2005,1,17,184.5,-175.5,-19.5,25,0,0,0,0,0,0,0,0,0,0,0.215,8.6,0.215,8.6,1/17/2005
-174.5,-21.5,1/17/2005,12:00,2005,1,17,185.5,-174.5,-21.5,21.3,0.119,5.587,0.1,4.695,0,0,0.005,0.235,0,0,0.275,12.911,0.499,23.427,1/17/2005
-176.5,-22.5,1/18/2005,12:00,2005,1,18,183.5,-176.5,-22.5,14,0.06,4.286,0,0,0,0,0,0,0,0,0.2,14.286,0.26,18.571,1/18/2005
-175.5,-20.5,1/18/2005,12:00,2005,1,18,184.5,-175.5,-20.5,25,0.03,1.2,0,0,0,0,0,0,0,0,0.1,4,0.13,5.2,1/18/2005
-174.5,-22.5,1/18/2005,12:00,2005,1,18,185.5,-174.5,-22.5,21,0.255,12.143,0.025,1.19,0,0,0.01,0.476,0,0,0.125,5.952,0.415,19.762,1/18/2005
-176.5,-21.5,1/19/2005,12:00,2005,1,19,183.5,-176.5,-21.5,14,0.09,6.429,0.02,1.429,0,0,0,0,0,0,0.2,14.286,0.31,22.143,1/19/2005
-175.5,-20.5,1/19/2005,12:00,2005,1,19,184.5,-175.5,-20.5,25,0,0,0,0,0,0,0,0,0,0,0.255,10.2,0.255,10.2,1/19/2005
-174.5,-22.5,1/19/2005,12:00,2005,1,19,185.5,-174.5,-22.5,21.24,0.238,11.205,0,0,0,0,0,0,0,0,0.125,5.885,0.363,17.09,1/19/2005
-174.5,-20.5,1/19/2005,12:00,2005,1,19,185.5,-174.5,-20.5,16.5,0.015,0.909,0.015,0.909,0,0,0.005,0.303,0,0,0.26,15.758,0.295,17.879,1/19/2005
-175.5,-20.5,1/20/2005,12:00,2005,1,20,184.5,-175.5,-20.5,25,0,0,0,0,0,0,0,0,0,0,0.21,8.4,0.21,8.4,1/20/2005
-174.5,-22.5,1/20/2005,12:00,2005,1,20,185.5,-174.5,-22.5,20.85,0.221,10.6,0.025,1.199,0,0,0.005,0.24,0,0,0.125,5.995,0.376,18.034,1/20/2005
-174.5,-20.5,1/20/2005,12:00,2005,1,20,185.5,-174.5,-20.5,16,0.06,3.75,0.025,1.563,0,0,0,0,0,0,0.195,12.188,0.28,17.5,1/20/2005
-174.5,-21.5,1/21/2005,12:00,2005,1,21,185.5,-174.5,-21.5,16,0.2,12.5,0.08,5,0,0,0,0,0,0,0.115,7.188,0.395,24.688,1/21/2005
-176.5,-21.5,1/22/2005,12:00,2005,1,22,183.5,-176.5,-21.5,21.15,0.34,16.076,0,0,0,0,0,0,0,0,0.25,11.82,0.59,27.896,1/22/2005
-174.5,-21.5,1/22/2005,12:00,2005,1,22,185.5,-174.5,-21.5,15.5,0.18,11.613,0.015,0.968,0,0,0,0,0,0,0.03,1.935,0.225,14.516,1/22/2005
-174.5,-21.5,1/23/2005,12:00,2005,1,23,185.5,-174.5,-21.5,16.5,0.15,9.091,0,0,0,0,0,0,0,0,0.425,25.758,0.575,34.848,1/23/2005
-176.5,-21.5,1/24/2005,12:00,2005,1,24,183.5,-176.5,-21.5,24.3,0.255,10.494,0,0,0,0,0.005,0.206,0,0,0.125,5.144,0.385,15.844,1/24/2005
-176.5,-20.5,1/26/2005,12:00,2005,1,26,183.5,-176.5,-20.5,24.3,0.357,14.691,0.08,3.292,0,0,0,0,0,0,0.06,2.469,0.497,20.453,1/26/2005
-174.5,-23.5,1/26/2005,12:00,2005,1,26,185.5,-174.5,-23.5,14,0,0,0.07,5,0,0,0,0,0,0,0.07,5,0.14,10,1/26/2005
-176.5,-20.5,1/27/2005,12:00,2005,1,27,183.5,-176.5,-20.5,21.15,0.425,20.095,0.025,1.182,0,0,0,0,0,0,0.1,4.728,0.55,26.005,1/27/2005
-175.5,-23.5,1/27/2005,12:00,2005,1,27,184.5,-175.5,-23.5,14,0.015,1.071,0.06,4.286,0,0,0,0,0,0,0.1,7.143,0.175,12.5,1/27/2005
-176.5,-20.5,1/28/2005,12:00,2005,1,28,183.5,-176.5,-20.5,24.3,0.425,17.49,0,0,0,0,0,0,0,0,0.31,12.757,0.735,30.247,1/28/2005
-174.5,-21.5,1/28/2005,12:00,2005,1,28,185.5,-174.5,-21.5,16,0.14,8.75,0.035,2.188,0,0,0,0,0,0,0.03,1.875,0.205,12.813,1/28/2005
-176.5,-19.5,1/29/2005,12:00,2005,1,29,183.5,-176.5,-19.5,21,0.221,10.524,0.03,1.429,0,0,0,0,0,0,0.05,2.381,0.301,14.333,1/29/2005
-174.5,-20.5,1/29/2005,12:00,2005,1,29,185.5,-174.5,-20.5,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/29/2005
-173.5,-21.5,1/29/2005,12:00,2005,1,29,186.5,-173.5,-21.5,15,0.035,2.333,0.04,2.667,0,0,0.01,0.667,0,0,0,0,0.085,5.667,1/29/2005
-176.5,-20.5,1/30/2005,12:00,2005,1,30,183.5,-176.5,-20.5,14,0.11,7.857,0.06,4.286,0,0,0,0,0,0,0.15,10.714,0.32,22.857,1/30/2005
-174.5,-19.5,1/30/2005,12:00,2005,1,30,185.5,-174.5,-19.5,24.5,0,0,0,0,0,0,0,0,0,0,0.385,15.714,0.385,15.714,1/30/2005
-175.5,-20.5,1/31/2005,12:00,2005,1,31,184.5,-175.5,-20.5,24.5,0,0,0,0,0,0,0,0,0,0,0.03,1.224,0.03,1.224,1/31/2005
-174.5,-18.5,1/31/2005,12:00,2005,1,31,185.5,-174.5,-18.5,24.3,0.204,8.395,0.025,1.029,0,0,0,0,0,0,0.1,4.115,0.329,13.539,1/31/2005
-175.5,-20.5,2/1/2005,12:00,2005,2,1,184.5,-175.5,-20.5,14,0.115,8.214,0.06,4.286,0,0,0,0,0,0,0.22,15.714,0.395,28.214,2/1/2005
-175.5,-20.5,2/2/2005,12:00,2005,2,2,184.5,-175.5,-20.5,16.5,0,0,0,0,0,0,0,0,0,0,0.03,1.818,0.03,1.818,2/2/2005
-175.5,-17.5,2/2/2005,12:00,2005,2,2,184.5,-175.5,-17.5,24.3,0.323,13.292,0.045,1.852,0,0,0.005,0.206,0,0,0.4,16.461,0.773,31.811,2/2/2005
